DAPI_Intensity,pyrP_Intenisty,ssaA_Intenisty,pbuX_Intenisty
64892.00,12388.00,5386.00,9405.00
57384.00,13433.00,6911.00,10891.00
103716.00,13733.00,7060.00,13152.00
105476.00,14074.00,9292.00,13286.00
73249.00,13549.00,6361.00,11296.00
98502.00,17307.00,6780.00,10035.00
91895.00,13810.00,6232.00,15672.00
65896.00,12191.00,5299.00,8679.00
82590.00,13522.00,5971.00,12857.00
63224.00,12676.00,5396.00,6708.00
83138.00,13419.00,5463.00,7943.00
84009.00,13160.00,5996.00,10953.00
67898.00,13042.00,6300.00,7930.00
63388.00,12620.00,6004.00,9107.00
77957.00,13162.00,5305.00,10606.00
79199.00,13549.00,7123.00,16676.00
56283.00,14063.00,5177.00,5846.00
87875.00,14193.00,5861.00,9188.00
86926.00,12953.00,5719.00,13098.00
70046.00,12817.00,6037.00,9941.00
60133.00,12533.00,5546.00,9005.00
57978.00,12742.00,5077.00,7406.00
61752.00,13037.00,5517.00,9750.00
88857.00,13866.00,6446.00,14514.00
151326.00,14295.00,7930.00,13390.00
57666.00,14874.00,5200.00,6169.00
73204.00,13746.00,5347.00,7332.00
66830.00,12875.00,5126.00,8740.00
61331.00,12470.00,5256.00,9321.00
93461.00,13915.00,8046.00,11572.00
98868.00,14205.00,6245.00,12391.00
65863.00,12809.00,5844.00,8796.00
105985.00,14290.00,6180.00,13281.00
75912.00,12839.00,5517.00,11073.00
74631.00,13362.00,6084.00,8885.00
101438.00,14375.00,5647.00,13815.00
97356.00,15555.00,6149.00,11908.00
74353.00,13308.00,5107.00,10020.00
102141.00,14996.00,5838.00,10390.00
65691.00,12904.00,5765.00,10744.00
73997.00,12732.00,5547.00,9754.00
76285.00,13087.00,8050.00,11537.00
73545.00,13026.00,5534.00,10720.00
67706.00,13492.00,5450.00,9899.00
79872.00,13132.00,5358.00,12243.00
115875.00,14282.00,7790.00,13390.00
82765.00,13557.00,8525.00,11024.00
59385.00,14864.00,5169.00,5828.00
62683.00,12153.00,5198.00,10537.00
88692.00,14274.00,5417.00,16051.00
70871.00,13077.00,6847.00,10843.00
70227.00,13088.00,5574.00,8441.00
61865.00,12680.00,5849.00,6896.00
89178.00,14563.00,6676.00,9925.00
90469.00,13930.00,7013.00,14082.00
66427.00,13293.00,8781.00,11063.00
62279.00,14256.00,5603.00,9863.00
68483.00,13862.00,7327.00,9487.00
74981.00,14904.00,5386.00,10639.00
69650.00,13565.00,5344.00,9263.00
68542.00,12934.00,5498.00,6579.00
76278.00,12940.00,5356.00,12211.00
68687.00,13027.00,5789.00,9321.00
77260.00,12969.00,5928.00,15074.00
80563.00,14290.00,6346.00,11809.00
56474.00,12729.00,4946.00,7567.00
92911.00,13653.00,6490.00,11594.00
57960.00,14376.00,5278.00,5856.00
101120.00,15180.00,6272.00,12591.00
74884.00,13411.00,6000.00,13837.00
57248.00,14955.00,5177.00,5887.00
82679.00,13705.00,5716.00,12238.00
101033.00,13986.00,6070.00,15131.00
74432.00,13795.00,6302.00,10686.00
62528.00,13177.00,6156.00,13048.00
72609.00,13307.00,10093.00,10949.00
90736.00,13889.00,9011.00,11176.00
60279.00,12739.00,5707.00,9640.00
59352.00,12638.00,8047.00,8186.00
74052.00,13794.00,5973.00,11578.00
66791.00,13936.00,5872.00,10427.00
66387.00,13233.00,5668.00,11093.00
99718.00,13519.00,5605.00,15085.00
82802.00,14574.00,5990.00,9512.00
91189.00,13579.00,5298.00,13795.00
73900.00,13233.00,6393.00,9361.00
60316.00,12174.00,5755.00,9477.00
64588.00,13066.00,5863.00,12040.00
90998.00,13426.00,5571.00,12487.00
66221.00,13023.00,5379.00,12020.00
61292.00,13067.00,6618.00,10507.00
70514.00,13470.00,5620.00,11836.00
76051.00,13226.00,6088.00,10306.00
77429.00,13229.00,6101.00,10429.00
75094.00,13442.00,6717.00,12937.00
70361.00,13571.00,5811.00,12923.00
97009.00,50532.00,6107.00,8593.00
83816.00,13211.00,5213.00,12169.00
92615.00,13597.00,5758.00,10397.00
79709.00,31064.00,5837.00,11371.00
64418.00,15662.00,8815.00,8355.00
67855.00,12902.00,6762.00,7824.00
57691.00,13699.00,5871.00,8550.00
69461.00,13175.00,5201.00,11532.00
86777.00,14382.00,6993.00,13794.00
64213.00,12491.00,5083.00,7239.00
61645.00,12470.00,6663.00,9555.00
59037.00,13868.00,4921.00,6007.00
63487.00,12960.00,5111.00,8392.00
64415.00,12672.00,7366.00,11235.00
76518.00,12855.00,5619.00,9619.00
99416.00,14152.00,5792.00,13284.00
63693.00,12560.00,6067.00,9567.00
73078.00,13337.00,5525.00,10281.00
107129.00,20565.00,5730.00,10786.00
82187.00,13602.00,5263.00,11519.00
97631.00,14720.00,8085.00,8392.00
110191.00,14155.00,6753.00,12961.00
75356.00,13442.00,11335.00,9988.00
63185.00,13044.00,5669.00,11758.00
107627.00,15186.00,10849.00,13791.00
90313.00,13823.00,6544.00,13829.00
71407.00,12548.00,10685.00,8592.00
73279.00,13040.00,5393.00,10895.00
66127.00,12196.00,5140.00,7625.00
57543.00,12482.00,5617.00,15010.00
62983.00,14757.00,5414.00,6866.00
88551.00,13373.00,6050.00,11723.00
61445.00,12883.00,5405.00,7241.00
58916.00,13853.00,5543.00,6165.00
67470.00,13105.00,5222.00,8218.00
58604.00,22503.00,5099.00,7099.00
61680.00,13098.00,5940.00,8687.00
59481.00,12725.00,5506.00,6344.00
74451.00,12617.00,5170.00,11817.00
57870.00,14042.00,5431.00,5929.00
83145.00,12662.00,5281.00,10619.00
73626.00,13755.00,5557.00,7514.00
121711.00,14814.00,10377.00,12837.00
62755.00,12875.00,5313.00,12031.00
115601.00,15997.00,6076.00,12004.00
61519.00,12478.00,5213.00,9949.00
56522.00,23140.00,5665.00,6825.00
57751.00,13101.00,5239.00,6916.00
59635.00,12698.00,5269.00,7796.00
70169.00,13120.00,5234.00,8848.00
64797.00,12588.00,5254.00,8997.00
81077.00,13524.00,6468.00,14529.00
89499.00,13777.00,8576.00,14127.00
74805.00,13448.00,5407.00,12467.00
101735.00,14831.00,8852.00,15392.00
54165.00,13927.00,5170.00,5979.00
98092.00,13870.00,6025.00,12782.00
97005.00,14265.00,5828.00,10947.00
108475.00,14679.00,6052.00,14360.00
87985.00,14751.00,6608.00,11737.00
68520.00,13485.00,5606.00,10399.00
66249.00,13155.00,5581.00,12068.00
74596.00,12622.00,5254.00,7875.00
73356.00,13495.00,6192.00,13632.00
57536.00,12607.00,7844.00,8069.00
93255.00,13599.00,5615.00,11482.00
75349.00,13542.00,7691.00,10797.00
61422.00,12628.00,5219.00,8788.00
62697.00,13153.00,5527.00,7474.00
69455.00,13004.00,5967.00,10938.00
61110.00,15965.00,5291.00,7199.00
60887.00,13334.00,5252.00,10163.00
65675.00,12754.00,5437.00,8600.00
72483.00,13121.00,5284.00,8392.00
80880.00,13924.00,8050.00,11081.00
75358.00,13837.00,10591.00,10311.00
92575.00,13708.00,5584.00,11955.00
71779.00,13247.00,9589.00,9968.00
58406.00,13960.00,5309.00,6226.00
58242.00,12865.00,6489.00,8560.00
64747.00,12677.00,7102.00,9073.00
119599.00,14283.00,6507.00,18021.00
70176.00,12710.00,5941.00,10473.00
74777.00,13701.00,6009.00,10335.00
58864.00,13102.00,6066.00,10121.00
74005.00,12718.00,5255.00,11409.00
88922.00,13278.00,7189.00,11346.00
69887.00,13027.00,5412.00,12412.00
91197.00,13622.00,6955.00,12869.00
78992.00,13812.00,7245.00,12031.00
56976.00,12698.00,5152.00,7684.00
85818.00,14233.00,5745.00,11769.00
59529.00,12687.00,5560.00,9595.00
68039.00,13918.00,5976.00,9542.00
73333.00,13117.00,5749.00,12870.00
70748.00,13299.00,5709.00,12163.00
68500.00,12928.00,5322.00,9118.00
82830.00,14047.00,7271.00,11891.00
66332.00,14381.00,5132.00,7443.00
62255.00,12862.00,5449.00,10421.00
69313.00,13248.00,5274.00,9678.00
164834.00,16184.00,9096.00,16919.00
59644.00,13169.00,6246.00,6134.00
78310.00,13928.00,6473.00,13119.00
51043.00,13161.00,26993.00,5882.00
96148.00,14731.00,5814.00,11752.00
59178.00,12527.00,5057.00,10184.00
61077.00,13058.00,5318.00,8238.00
63050.00,12580.00,5368.00,8442.00
61816.00,12828.00,5696.00,10253.00
117568.00,15229.00,6303.00,14742.00
62563.00,12494.00,5342.00,7854.00
75236.00,13726.00,5983.00,9403.00
61087.00,12645.00,5201.00,7314.00
76338.00,13758.00,5407.00,10803.00
58739.00,12841.00,5099.00,7499.00
63919.50,13253.00,5287.00,10620.00
58735.00,12537.00,6568.00,8618.00
59709.00,12760.00,5216.00,8145.00
84975.00,14725.00,5631.00,10984.00
57072.00,12546.00,5481.00,9277.00
67631.00,12863.00,7209.00,10594.00
74876.00,13479.00,6618.00,10213.00
56154.00,13007.00,10535.00,9344.00
62048.00,13030.00,5255.00,10930.00
63975.00,12950.00,6125.00,9586.00
51275.00,14472.00,5139.00,5886.00
66375.00,13060.00,7540.00,9563.00
55823.00,12135.00,5408.00,8909.00
99363.00,14170.00,6191.00,12270.00
87758.00,13644.00,5947.00,16618.00
75987.00,13580.00,5255.00,8692.00
68664.00,13176.00,5492.00,10871.00
69006.00,12669.00,5466.00,10669.00
98142.00,13868.00,5774.00,15004.00
65994.00,13122.00,6163.00,8493.00
56686.00,12303.00,5533.00,7948.00
60742.50,12845.00,5181.00,9939.00
75676.00,13672.00,6286.00,6940.00
67557.00,13857.00,5241.00,14109.00
55934.00,13202.00,5252.00,8313.00
82466.00,13677.00,5553.00,14881.00
85420.50,14304.00,5931.00,11852.00
98810.00,21275.00,6478.00,10366.00
73443.00,13176.00,6079.00,9489.00
63568.00,13145.00,5979.00,9024.00
54087.00,12572.00,5868.00,8429.00
55216.00,12787.00,5547.00,9511.00
67949.00,15282.00,6895.00,12994.00
69324.00,13446.00,5246.00,10524.00
55695.00,12737.00,5209.00,7296.00
78273.00,12944.00,6363.00,11643.00
72496.00,13774.00,5218.00,14299.00
69433.00,13583.00,5715.00,12984.00
64114.00,13067.00,8014.00,13433.00
61861.00,22547.00,5203.00,7210.00
65400.00,13091.00,6452.00,8802.00
79817.00,13140.00,6758.00,13781.00
80808.00,14198.00,6753.00,14106.00
70706.00,12797.00,5601.00,13844.00
58468.00,12426.00,6219.00,7385.00
72651.00,12720.50,5197.00,10516.00
102025.00,14725.00,6973.00,10714.00
64524.00,13624.00,6014.00,12169.00
57700.00,12635.00,5260.00,8758.00
52059.00,12944.00,8166.00,5987.00
63614.00,13088.00,5425.00,13128.00
87699.00,14004.00,7023.00,11912.00
75743.00,12987.00,5557.00,11365.00
63991.00,13300.00,7364.00,12380.00
52651.00,12702.00,5110.00,5821.00
58661.00,12558.00,5097.00,8853.00
84536.00,13294.00,5385.00,15794.00
62271.00,12866.00,5521.00,8784.00
99262.00,13921.00,6254.00,10921.00
78553.00,12973.00,5386.00,12212.00
74135.00,13059.00,5227.00,11012.00
81554.00,13637.00,5793.00,7286.00
102773.00,13697.00,5494.00,13924.00
96705.00,18542.00,6900.00,12381.00
68154.00,13658.00,5480.00,13084.00
81996.00,13511.00,6365.00,7559.00
82956.00,15118.00,5547.00,10767.00
63271.00,12976.00,5352.00,6753.00
59583.00,12350.00,5314.00,7215.00
63023.00,12688.00,5668.00,11276.00
76541.00,14399.00,5536.00,9030.00
57545.00,13095.00,7847.00,11541.00
62584.00,12364.00,6117.00,10316.00
83203.00,13280.00,6201.00,14119.00
70039.00,13118.00,5130.00,9924.00
62486.00,12659.00,5454.00,8850.00
81551.00,13585.00,6514.00,9027.00
93008.00,14124.00,5670.00,11731.00
69677.00,13371.00,5308.00,10348.00
105548.00,14440.00,7197.00,10990.00
66136.00,12782.00,5426.00,9080.00
72978.00,12984.00,5679.00,13095.00
60620.00,12621.00,5099.00,6687.00
92993.00,27444.00,7681.00,13383.00
51056.00,13771.00,5122.00,5834.00
56605.00,12505.00,5918.00,8851.00
72310.00,12835.00,6254.00,11310.00
77595.00,12786.00,5170.00,12235.00
66648.00,13118.00,7260.00,13275.00
70737.00,13095.00,5454.00,8951.00
68336.00,13282.00,6201.00,10191.00
72067.00,12890.00,5006.00,8218.00
90807.00,14233.00,6451.00,10508.00
53415.00,12671.00,5614.00,8925.00
77286.00,13134.00,6111.00,10645.00
98068.00,13884.00,11141.00,10443.00
73828.00,13205.00,6193.00,9486.00
114312.00,14975.00,9063.00,16529.00
55154.00,12756.00,10344.00,7372.00
76354.00,13219.00,5628.00,9826.00
68119.00,13424.00,5767.00,12876.00
61705.00,13123.00,5238.00,6257.00
78990.00,13128.00,6481.00,13883.00
71900.00,12947.00,5332.00,10090.00
59543.00,12837.00,5752.00,9778.00
86645.00,13257.00,6362.00,13440.00
102887.00,13631.00,7441.00,9961.00
63206.00,13388.00,5232.00,7586.00
120068.00,14673.00,6405.00,13754.00
81690.00,13763.00,5526.00,12974.00
77073.00,13082.00,5262.00,13216.00
51431.00,14787.00,5106.00,5959.00
57983.00,12978.00,5411.00,9829.00
98314.00,14463.00,6568.00,9493.00
66912.00,13476.00,6078.00,10609.00
78819.00,12962.00,6309.00,14617.00
108047.00,14012.00,5619.00,10086.00
60184.00,12977.00,5116.00,10743.00
64908.00,12532.00,5258.00,7405.00
84449.00,12993.00,5661.00,14231.00
60447.00,13300.00,5272.00,10108.00
75344.00,13481.00,5905.00,9548.00
89784.00,13572.00,5654.00,13524.00
57286.00,12759.00,6423.00,10859.00
62091.00,13721.00,6252.00,7865.00
89921.00,13578.00,6563.00,10393.00
